"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","87","92","6","80.823990","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","68","74","2","81.774307","0","0"
"Globals","0","3291","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","18","19","1","21.813505","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","10","11","1","11.467150","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","31","31","1","41.525639","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","13","13","1","14.145992","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","13","13","1","13.873882","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","5","5","1","6.550200","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","5","5","1","6.552281","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","11","11","1","14.927902","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","7","7","1","16.613297","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","73","77","1","118.005402","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","105","109","1","205.966309","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","596","646","1","780.015198","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","116","122","1","168.775635","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","160","160","1","293.727997","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","5","5","1","8.152095","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","11","11","1","15.608383","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","11","11","1","15.849840","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","28","1","45.997524","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","11","11","1","17.359795","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","5","5","1","8.828037","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","16","16","1","28.730265","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","11","11","1","16.248131","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","56","59","1","73.178047","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","48","48","1","145.088120","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","14","14","1","13.762993","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","20","20","1","14.885727","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","156","156","1","218.221222","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","925","950","1","796.141541","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","37","39","1","36.782394","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","20","20","1","13.423663","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","10","11","1","8.446216","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Stones/M_RockCoverage_Master.M_RockCoverage_Master","0","178","186","2","262.193420","0","0"
"/Game/Luos8Elements/Materials/Light/M_4e_LightSpark_01.M_4e_LightSpark_01","0","148","148","4","148.348450","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Props/M_Props_Master.M_Props_Master","0","151","163","1","221.293747","0","0"
"/Game/Luos8Elements/Materials/Light/M_4e_LightSphere_01.M_4e_LightSphere_01","0","7","7","1","13.244400","0","0"
"/Game/Luos8Elements/Materials/Generic/M_4E_Invissi_01.M_4E_Invissi_01","0","66","72","1","68.256523","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","76","76","1","115.919922","0","0"
"/Game/LizardWarrior/Materials/M_Lizzard.M_Lizzard","0","71","74","1","112.527191","0","0"
"/Game/ATARTCasualWizard/Materials/ATARTCasualWizard_Weapon_Matt.ATARTCasualWizard_Weapon_Matt","0","44","44","1","63.242397","0","0"
"/Game/ATARTCasualWizard/Materials/ATARTCasualWizard_Hair_Matt.ATARTCasualWizard_Hair_Matt","0","44","44","1","66.410728","0","0"
"/Game/ATARTCasualWizard/Materials/ATARTCasualWizard_Face_Matt.ATARTCasualWizard_Face_Matt","0","44","44","1","67.910851","0","0"
"/Game/ATARTCasualWizard/Materials/ATARTCasualWizard_Body_Matt.ATARTCasualWizard_Body_Matt","0","44","44","1","93.367714","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Smoke_03.M_Smoke_03","0","27","27","1","55.830345","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Smoke_01.M_Smoke_01","0","35","35","1","56.393433","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Radial_Gradient.M_Radial_Gradient","0","66","72","1","66.539436","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Flame_03.M_Flame_03","0","27","27","1","30.969707","0","0"
"/Game/ThirdPerson/Meshes/RampMaterial.RampMaterial","0","28","28","1","52.342861","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","28","28","1","54.139214","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","5","5","1","10.131028","0","0"
"/Game/_ProjectContent/Material/Terrian_Matt.Terrian_Matt","0","312","312","9","402.841614","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Terrain/M_Water_Base.M_Water_Base","0","34","34","1","152.607483","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Terrain/M_WaterfallFoam.M_WaterfallFoam","0","24","26","1","22.838366","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Terrain/M_Water_Moving.M_Water_Moving","0","87","87","1","435.687775","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Terrain/M_WaterfallVolumetric.M_WaterfallVolumetric","0","24","26","1","21.645725","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Foliage/M_Foliage_Master.M_Foliage_Master","0","105","109","1","141.318344","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Foliage/M_Bark_Master.M_Bark_Master","0","89","93","1","106.223007","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","49","49","1","203.084900","0","0"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","88","88","1","211.036148","0","0"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","27","27","1","42.605957","0","0"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","35","35","1","53.014099","0","0"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","27","27","1","43.082748","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","28","28","1","63.695965","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","28","28","1","64.102089","0","0"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","28","28","1","69.688293","0","0"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","116","116","1","239.604568","0","0"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","28","28","1","65.717270","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","34","34","1","76.766678","0","0"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","28","28","1","64.716522","0","0"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","28","28","1","67.413445","0","0"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","49","49","1","298.326416","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","10","10","2","17.939686","0","0"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","0","28","28","1","64.499252","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","28","28","1","64.543350","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","0","28","28","1","65.761642","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","28","28","1","62.918262","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","28","28","1","60.680199","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","56","56","1","104.702957","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","5","5","1","9.060012","0","0"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","0","5","5","1","8.790169","0","0"
